epoch,acc,loss,val_acc,val_loss
0,0.9338265121266506,0.018117053284112027,0.9342729575538772,0.014171232349144962
1,0.9342575929197003,0.013355134214457602,0.9340984383425257,0.013323421236300328
2,0.9342862198970586,0.012569448805935149,0.9341151406523505,0.012041010110693506
3,0.9342067452032479,0.012135486308966428,0.9341217154868149,0.011833100946030226
4,0.9343232733370196,0.01173123942615048,0.9342257119024361,0.011645546565948323
5,0.9343337922296509,0.0114889701509187,0.9342085867907624,0.011419477638391282
6,0.9342423509824106,0.011203036787469537,0.9342752755878655,0.011124541484465166
7,0.9343262135037907,0.011107781561417727,0.9342445308573746,0.011032121712023049
8,0.9342719583380997,0.010933870765514872,0.9342371979555628,0.010971349263138612
9,0.9344155005343175,0.01086460326638858,0.9342713977998062,0.01087599168843809
10,0.9341990218959784,0.010769264018473034,0.9341364715051719,0.010864682492604758
11,0.9342389746957271,0.01069008592540537,0.9342437065531966,0.011205242484071945
12,0.9342878037606102,0.010591501882816363,0.9339819301382111,0.010681955187319753
13,0.9344061509742979,0.010594352281640584,0.9342399762037307,0.010610045852556762
14,0.9342606701677083,0.010497059386884779,0.9342219519207039,0.010552175399168433
15,0.934342231926185,0.010483402416490832,0.9342008657785353,0.010413189645798161
16,0.9343218453287512,0.010458558259558423,0.9338322410229779,0.010559699747886791
17,0.9342899800149839,0.010423075834956321,0.934588571715457,0.010397054148723668
18,0.9342205990040926,0.010359413907774643,0.9341308244539905,0.010301905990738991
19,0.9344342521413949,0.010325257776588461,0.9344339780137474,0.01028766050720893
20,0.9343500611993666,0.010256633099696929,0.9345854954440651,0.01039374559007043
21,0.9342377318019156,0.010266799070442865,0.9341151631422628,0.010365662982384442
22,0.9342476785844177,0.01025683232121872,0.9346896844906746,0.010133384029446076
23,0.9343960023483648,0.010231741276464873,0.9343218320446586,0.010205052285847093
24,0.9342350478831637,0.010179117387537025,0.9342932944290988,0.010115287735654352
25,0.9342484826189591,0.010167043580099492,0.9343505335942485,0.010307164708638667
26,0.9342837194680412,0.010112366485726767,0.9344386217767604,0.010086006258405777
27,0.93427941177613,0.01008505967822776,0.9340310576298778,0.010494713132108924
28,0.9343272535434427,0.01007805710463606,0.9341748545156225,0.010215834902796081
29,0.9344291305721467,0.010088158530373533,0.9344483916242521,0.01010786366785814
30,0.9344658536172329,0.010035067504358945,0.9341996554046147,0.010525456206546232
31,0.93442089511362,0.010054372442427214,0.9345006163042044,0.010098792612552643
32,0.9342304413131602,0.01000531279159453,0.9343467880672803,0.010086056262190944
33,0.9342264130073946,0.010005467115361214,0.9345840321542873,0.010116306016986895
34,0.9343561748695072,0.009966425776552474,0.9340463324467227,0.010184216629594203
35,0.9343580541586158,0.009996699930866812,0.9344243188727429,0.010049356308735153
36,0.9343741045464804,0.009965250374293235,0.934416644455873,0.010080179967153578
37,0.934259115917558,0.009954774046424487,0.9345132325923392,0.010077554918559915
38,0.9342983426883368,0.009930535224406565,0.9345138422007567,0.010080560267611956
39,0.9341993478039743,0.009918218507083123,0.9340846405474844,0.010048393684222806
40,0.934231347955539,0.009943836928004319,0.9342063056589364,0.010018027782806868
41,0.9343016674184195,0.009883651859717364,0.9341739556418676,0.00990324145177653
42,0.9342118687561688,0.009886047345211231,0.9343133314529941,0.010014074997041114
43,0.9342871019655098,0.009860253501971283,0.9342961989438823,0.010015287606600943
44,0.9342862199253968,0.00985829342730792,0.9343572880078994,0.009983487994198856
45,0.9344497234384912,0.009847372805842873,0.934524793470127,0.009943197718150542
46,0.9344037986122863,0.00978784841834383,0.9343736630448601,0.009908168171113955
47,0.934342548860423,0.009795660665221867,0.9343638993619002,0.009885953431058882
48,0.9343343625969819,0.009806990084532063,0.934161599454458,0.009843400327791692
49,0.9343357946528874,0.009788467559562006,0.9342271979372103,0.00984981946000157
